,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
10,gomez,iso,gammaw,1.0,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
11,gomez,iso,gammaw,1.2,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
12,gomez,iso,gammaw,0.8,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
13,gomez,iso,gammaw,1.0,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
14,gomez,iso,gammaw,1.2,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
0,gomez,iso,gammas,0.8,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
1,gomez,iso,gammas,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,gammas,1.2,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
3,gomez,iso,gammas,0.8,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
4,gomez,iso,gammas,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
