,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
4,gomez,dyn,kws,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,kws,1.2,1.05,40.25888151277965,0.00026507295962845524,1.3054609875307472,0.0730473631331989,16.5,148.2,193.4,121.3,-87.78987600679902,9.101218466937437e-05,0.21995986762106384,0.025244374786548097,236.5,345.6,289.9,565.5,374.3,568.7
6,gomez,dyn,kws,0.8,1.1,40.28181915053545,0.00026869063977339103,1.5437737980181114,0.07891040276867108,16.6,150.5,204.7,111.7,-87.79429428505135,9.029152267895855e-05,0.4203974992715832,0.03223627233207402,236.4,346.4,292.5,543.1,389.0,567.9
7,gomez,dyn,kws,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,kws,1.2,1.1,40.286344714940576,0.00027032078505620245,1.568140601394947,0.0775479496673125,16.6,145.2,188.0,116.0,-87.79153725246736,9.067865586713826e-05,0.42264113659819025,0.03234848349567495,236.2,345.9,287.8,546.7,365.4,558.9
0,gomez,dyn,ktrpn,0.8,1.0,40.2255292590829,0.0002607413681741768,1.12838151208647,0.07039678985060024,16.3,152.1,205.9,125.0,-87.78740367315369,9.146165391513635e-05,0.1285301895358475,0.020057885703319112,236.7,345.4,292.6,578.7,390.7,577.4
1,gomez,dyn,ktrpn,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,ktrpn,1.2,1.0,40.24072630413639,0.00026083178059494594,1.125856538192122,0.07029836776042508,16.4,152.8,204.6,124.0,-87.78801173956582,9.137100317338029e-05,0.12822513707533992,0.020017544739079886,236.7,345.5,293.2,577.2,388.4,574.6
3,gomez,dyn,ktrpn,0.8,1.05,40.248042266097166,0.00026439183976013485,1.2971628340586359,0.07360611435251925,16.4,150.0,201.5,120.5,-87.79061748267648,9.091069173764624e-05,0.21966248535309282,0.02520708555526696,236.6,345.7,291.4,565.2,385.7,576.5
4,gomez,dyn,ktrpn,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,ktrpn,1.2,1.05,40.264693503788905,0.00026448237032526657,1.2944136287111758,0.0735066985683281,16.5,150.7,200.3,119.5,-87.79110850998497,9.083707820654698e-05,0.21921660043023478,0.025184102759749298,236.6,345.8,292.0,563.9,383.6,574.4
6,gomez,dyn,ktrpn,0.8,1.1,40.27441459994911,0.0002696354745602549,1.5606792848595432,0.07815820773007309,16.5,147.0,195.6,114.7,-87.79239240607707,9.056100585036196e-05,0.422022984055573,0.03231195495920497,236.3,346.1,289.4,544.9,375.9,561.9
7,gomez,dyn,ktrpn,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,ktrpn,1.2,1.1,40.29214764418888,0.0002697259603243552,1.557712923866228,0.07805854971418177,16.6,147.7,194.6,113.9,-87.79275804940599,9.050556283468092e-05,0.42163131346465654,0.03229696942477577,236.3,346.2,289.9,543.9,374.0,560.6
0,gomez,dyn,Trpn50,0.8,1.0,40.23612751314837,0.0002638700250491299,1.3920778729958987,0.06677754870995195,16.3,150.1,208.9,121.9,-87.7886311511758,9.125607590331098e-05,0.187038105289159,0.018090376446282183,236.5,345.5,290.4,566.6,394.1,561.6
1,gomez,dyn,Trpn50,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,Trpn50,1.2,1.0,40.2297310268944,0.0002575066951676364,0.9368440512803541,0.07357791804078921,16.4,155.4,204.4,126.9,-87.78715605456553,9.151444216592686e-05,0.09259381367259159,0.02142429415494514,237.0,345.4,295.9,590.3,385.0,589.3
3,gomez,dyn,Trpn50,0.8,1.05,40.258179044856725,0.000267133777308089,1.5640312005647135,0.0693224233765824,16.4,148.4,205.5,118.0,-87.79201736252405,9.069039988414388e-05,0.2745278950293938,0.02245661539723378,236.4,345.8,289.5,555.8,394.4,566.0
4,gomez,dyn,Trpn50,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,Trpn50,1.2,1.05,40.25393840655911,0.00026169260966156185,1.1040552712936347,0.07759088492246143,16.5,152.8,198.9,121.1,-87.78950191381914,9.109404527637724e-05,0.17971209296204854,0.02752088946767468,236.8,345.7,294.2,574.1,379.9,587.3
6,gomez,dyn,Trpn50,0.8,1.1,40.280571503567984,0.0002712281207980382,1.8247361811805016,0.0727655445771866,16.5,146.4,201.3,113.5,-87.79338621050935,9.041752655815783e-05,0.48848600705308204,0.02789823012842441,236.2,346.1,288.2,537.7,385.4,546.2
7,gomez,dyn,Trpn50,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,Trpn50,1.2,1.1,40.28507955012569,0.0002680141790567557,1.369729706421713,0.08358136511326761,16.7,148.6,191.4,104.2,-87.79156900984702,9.0685013586942e-05,0.36966069448168004,0.03627844593637755,236.5,346.1,291.0,552.2,370.7,579.5
0,gomez,dyn,gammaw,0.8,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
1,gomez,dyn,gammaw,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,gammaw,1.2,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
3,gomez,dyn,gammaw,0.8,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
4,gomez,dyn,gammaw,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,gammaw,1.2,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
